summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,queue,date
xfcK0HvE8_kyn665lD66PAsEUodu0Hz4k5pIsz4yUFY6cXufI0o3d2qGRg,soaz 2015,511,I,138,117,False,False,True,False,challenger,14/03/2021
zWfTEQuldVo2Ol3peYKT1e_U30dI5GL-Cubs5lHAfLVDOg,berg,376,I,125,102,False,False,True,True,challenger,14/03/2021
seJp-xlnXXgA5hH_kwAu1zGag94iDoziJfIaVjU3Ywt5,Thanagar,352,I,138,122,False,False,True,False,challenger,14/03/2021
XpWB1hsqVQdympYF_-uHvv7sWvd0J0EQtjvoAxpQicZjNQ,allez les bleus,281,I,107,93,False,False,False,False,challenger,14/03/2021
OXtDlFID9q9y54hkpZ1nSy45PnmX_IUYceIcBj-h1maoQuY,ruler123456789,423,I,172,151,True,False,False,False,challenger,14/03/2021
d5CYxx9eUhgAL3JUIRiCHsw6AaMehFz3mP5p9FU-wukwwEo,kinda cutie,374,I,167,161,False,False,False,False,challenger,14/03/2021
eziLTjlGqZK-3sF_JxVwGa8-sqe9nGgF8a1YiCq1cPf9lA,O Rengar,344,I,56,54,False,False,False,False,challenger,14/03/2021
5DJQ8uD0m8yCgImkOj1DclH-mYk5FVD5YGnpg5Ed4g88tyk,GuizorPET,556,I,161,143,False,False,False,False,challenger,14/03/2021
mJCFkxOlq3NKrTdABbkJD20R8GumeE7e75PckYCW3yLG8Pg,Hizo,345,I,105,93,False,False,False,False,challenger,14/03/2021
XgyYs4zOKHB4VQTfzeoUnp_0l-l_09abKxYEY4pIWfskPA,é o focus,614,I,150,133,False,False,True,False,challenger,14/03/2021
92YvvZEry1Ct46Umrwbs3h2XUj5-RrChYZaCoFkOMyzeJw,GLX Ryuujin,410,I,180,158,False,False,True,False,challenger,14/03/2021
0iXmvzKK7XsWxowQ86-elT2vVKUxvRwTimIRM-4Ct5d2V9g,xaxaxaxaxaxa,332,I,157,147,False,False,True,False,challenger,14/03/2021
-_Qnwg3Jo63S8Me_U7e36mQg4TqXwSuQgpTnn_kQcb-R,ThreshDeBike,407,I,204,166,True,False,False,False,challenger,14/03/2021
sD8upUmDiJ069DryYdNb1pbRcCIxIXcFiupp1RcGxlz_ZjY,190598,316,I,125,123,False,False,True,False,challenger,14/03/2021
